row,address,directions
"19","296 9th Ave, New York, NY","Walk to E 23 St / 1 Av
Bus towards Select Bus Chelsea Piers 12av Crosstown — take the M23-SBS toward Select Bus Chelsea Piers 12av Crosstown (8 stops), exit at W 23 St/9 Av
Walk to 296 9th Ave, New York, NY 10001, USA"
"20","108 E 51st St, New York, NY","Walk to 28 St
Subway towards Pelham Bay Park — take the 6 Train toward Pelham Bay Park (3 stops), exit at 51 St"
"21","601 W 114th St, New York, NY","Walk to E 23 St / 1 Av
Bus towards Select Bus Chelsea Piers 12av Crosstown — take the M23-SBS toward Select Bus Chelsea Piers 12av Crosstown (6 stops), exit at West 23 St & 7 Avenue
Walk to 23 St
Subway towards Van Cortlandt Park-242 St — take the 1 Line toward Van Cortlandt Park-242 St (13 stops), exit at 116 St-Columbia University
Walk to 601 W 114th St, New York, NY 10025, USA"
"22","540 Lenox Ave, New York, NY","Walk to E 34 St/1 Av
Bus towards Select Bus Pa Bus Trm via 34 St Via 8 Av — take the M34A-SBS toward Select Bus Pa Bus Trm via 34 St Via 8 Av (6 stops), exit at W 34 St/7 Av
Walk to 34 St-Penn Station
Subway towards Harlem-148 St — take the 3 Line toward Harlem-148 St (7 stops), exit at 135 St
Walk to 540 Lenox Ave, New York, NY 10037, USA"
"23","2759 Webster Ave, Bronx, NY","Walk to 1 Av/E 25 St
Bus towards Select Bus Service 125 St via 1 Av — take the M15-SBS toward Select Bus Service 125 St via 1 Av (3 stops), exit at 1 Av/E 43 St
Walk to Grand Central
Train towards Stamford — take the New Haven toward Stamford (2 stops), exit at Fordham
Walk to Parking lot, 2759 Webster Ave, Bronx, NY 10458, USA"
"24","1101 Boston Rd, Bronx, NY","Walk to 28 St
Subway towards Pelham Bay Park — take the 6 Train toward Pelham Bay Park (13 stops), exit at 3 Av-138 St
Walk to Lincoln Av/E 138 St
Bus towards Westchester Sq — take the Bx21 toward Westchester Sq (9 stops), exit at Boston Rd/E 166 St
Walk to 1101 Boston Rd, Bronx, NY 10456, USA"
"25","425 E 159th St, Bronx, NY","Walk to 28 St
Subway towards Pelham Bay Park — take the 6 Train toward Pelham Bay Park (2 stops), exit at Grand Central-42 St
Walk to Grand Central-42 St
Subway towards Eastchester-Dyre Av — take the 5 Line toward Eastchester-Dyre Av (6 stops), exit at 3 Av-149 St
Walk to 425 E 159th St, Bronx, NY 10451, USA"
"26","1290 Hoe Ave, Bronx, NY","Walk to 28 St
Subway towards Pelham Bay Park — take the 6 Train toward Pelham Bay Park (2 stops), exit at Grand Central-42 St
Walk to Grand Central-42 St
Subway towards Eastchester-Dyre Av — take the 5 Line toward Eastchester-Dyre Av (11 stops), exit at Freeman St
Walk to 1290 Hoe Ave, Bronx, NY 10459, USA"
"27","105-47 64th Road, Queens, NY","Walk to E 34 St/2 Av
Bus towards Spring Creek Seaview Av via Linden Bl Via Penn Av — take the BM5 toward Spring Creek Seaview Av via Linden Bl Via Penn Av (1 stop), exit at Woodhaven Blvd/Penelope Av
Walk to Woodhaven Blvd/63 Dr
Bus towards Rego Park — take the Q38 toward Rego Park (8 stops), exit at 63 Rd/108 St
Walk to 105-47 64th Rd, Forest Hills, NY 11375, USA"
"28","90-23 161st St, Queens, NY","Walk to E 34 St/1 Av
Bus towards Fresh Meadows 188 St via Union Tpke — take the QM7 toward Fresh Meadows 188 St via Union Tpke (4 stops), exit at 164 St/Union Tpke
Bus towards Jamaica Lirr via 164 St — take the Q65 toward Jamaica Lirr via 164 St (7 stops), exit at Parsons Blvd/Jamaica Av
Walk to 90-23 161st St, Jamaica, NY 11432, USA"
"29","102-16 89th Ave, Queens, NY","Walk to E 23 St & 1 Av
Bus towards Battery Pk City via Avenue C Via Pk Row — take the M9 toward Battery Pk City via Avenue C Via Pk Row (15 stops), exit at Essex St/Delancey St
Walk to Delancey St– Essex St
Subway towards Jamaica Center-Parsons/Archer — take the J Train toward Jamaica Center-Parsons/Archer (17 stops), exit at 104 St
Walk to 102-16 89th Ave, Jamaica, NY 11418, USA"
"30","35-30 103rd St, Queens, NY","Walk to 1 Av/E 29 St
Bus towards Select Bus Service 125 St via 1 Av — take the M15-SBS toward Select Bus Service 125 St via 1 Av (2 stops), exit at 1 Av/E 43 St
Walk to Grand Central-42 St
Subway towards Flushing-Main St — take the 7 toward Flushing-Main St (13 stops), exit at 103 St–Corona Plaza
Walk to 35-30 103rd St, Flushing, NY 11368, USA"
"31","39-21 Crescent St, Queens, NY","Walk to 1 Av/E 29 St
Bus towards Select Bus Service 125 St via 1 Av — take the M15-SBS toward Select Bus Service 125 St via 1 Av (2 stops), exit at 1 Av/E 43 St
Walk to Grand Central-42 St
Subway towards Flushing-Main St — take the 7 toward Flushing-Main St (4 stops), exit at Queensboro Plaza
Walk to 39-21 Crescent St, Long Island City, NY 11101, USA"
